Name,Designator,Footprint,Quantity,Supplier Part
47u 50V elco,C10,CAP-D3.0XF5,3,https://www.reichelt.de/de/en/e-cap-radial-47-uf-50-v-105-c-nhg-a-47u-50-p200355.html?&trstct=pos_6&nbc=1
1μF C3X7R 50V,"C2,C6 (both for 2 caps, sorry)",RAD-0.2,6,https://www.reichelt.de/de/en/multi-layer-ceramic-capacitor-1-0-f-50v-125-c-c3x7r-1-0u-50-p206882.html?&trstct=pos_12&nbc=1
Wima MKS-02 220 nF 63V,C7,RAD-0.1,4,https://www.reichelt.de/de/en/wima-film-capacitor-rm-2-5-mm-220-nf-mks02-63-220n-p12319.html?&trstct=pos_4&nbc=1
wima 22n 63V or 100nF 50V multi layer ceramic,C8,RAD-0.2,2,https://www.reichelt.de/de/en/multi-layer-ceramic-capacitor-100n-20--z5u-5-100n-p22986.html?GROUPID=3163&START=0&OFFSET=16&SID=965babc1e62f8622498d2f51422c1d9a7690afc954839f70cccbd&LANGUAGE=EN&&r=1
680uF 10V elco,C9,CAP-D3.0XF5,3,https://www.reichelt.de/de/en/e-cap-radial-680-uf-10-v-105-c-low-esr-fm-a-680u-10a-p200057.html?&trstct=pos_1&nbc=1
100(0)uf 50V elco,C25,CAP-D3.0XF5,3,https://www.reichelt.de/de/en/e-cap-radial-100-uf-50-v-2000-h-m-a-100u-50-p199830.html?&trstct=pos_0&nbc=1
"MKS2 4,7µ 50V",C20,RAD-0.2,3,https://www.reichelt.de/de/en/wima-film-capacitor-rm-5-mm-4-7-f-mks2-50-4-7--p31930.html?search=wima+4.7&&r=1
"X7R-5 100N Multi-layer ceramic capacitor 100N, 10%",c6 c2 and between pin 5 and 8 of U1,RAD-0.2,9,https://www.reichelt.de/de/en/multi-layer-ceramic-capacitor-100n-10--x7r-5-100n-p22865.html?&trstct=pos_3&nbc=1
"Inductor, axial, Ferrite, 10 µH",L1,R_AXIAL-0.6,3,https://www.reichelt.de/de/en/inductor-axial-ferrite-10-h-epco-b78108-s111-p245641.html?search=inductor+10&&r=1
C3M*******D (many options),GDS / Q1,TO-247AC-3_L15.8-W5.0-P5.46-L,1,https://www.digikey.nl/short/dvm7qh83   or  https://mou.sr/3MhQaY6
"Metal oxide resistor 1 W, 5%, 10 Ohm","R1,R2",R_AXIAL-0.4,4,https://www.reichelt.de/de/en/metal-oxide-resistor-1-w-5-10-ohm-1w-10-p1776.html?&trstct=pos_0&nbc=1
1EDI60I12AF,U1 (smd not labeled sorry),DIP8,2,https://mou.sr/479vzxv   or https://www.digikey.nl/short/7v9bm4bm
78L05,U3,TO-92-3_L4.8-W3.7-P2.54-R,4,https://www.reichelt.de/de/en/voltage-regulator-fixed-7-v-30-vin-5-vout-0-1-aout-to-92-lm-78l05-acz-p187799.html?search=78L05&&r=1
MGJ1D121505MPC,bottom square,,1,https://www.digikey.nl/short/70dqz4tz  or  https://mou.sr/40a2ZJU
